launch_id,launch_name,launch_designator,launch_datetime,launch_window_end,launch_window_start,failure_reason,status,status_abbrev,launch_provider,provider_type,rocket_name,rocket_full_name,rocket_family,mission_name,mission_type,orbit,orbit_abbrev,launch_pad,launch_location,launch_country,pad_latitude,pad_longitude,year,month,quarter
bb643566-508a-4f3a-a701-85669d11e2b3,Long March 3C | Compass-G1,2010-001,2010-01-16 16:12:04+00:00,2010-01-16 16:12:04+00:00,2010-01-16 16:12:04+00:00,,Launch Successful,Success,China Aerospace Science and Technology Corporation,Government,Long March 3C,Long March 3C,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 110, 'name': 'Long March 3'}]",,,,,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",China,28.245504,102.026768,2010,1,1
470aff2b-3cc8-4e98-9ada-d511828b4676,Proton-M / Briz-M Enhanced | Globus-1M #12L (Raduga-1M 2),2010-002,2010-01-28 00:18:00+00:00,2010-01-28 00:18:00+00:00,2010-01-28 00:18:00+00:00,,Launch Successful,Success,Khrunichev State Research and Production Space Center,Government,Proton-M,Proton-M Briz-M Enhanced,"[{'response_mode': 'list', 'id': 130, 'name': 'Proton / UR-500'}]",,,,,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Kazakhstan,46.071001,62.984999,2010,1,1
cb3977fe-3ef4-46d2-8bc9-65a0d9cef07a,Soyuz-U | Progress M-04M (36P),2010-003,2010-02-03 03:45:30+00:00,2010-02-03 03:45:30+00:00,2010-02-03 03:45:30+00:00,,Launch Successful,Success,Russian Federal Space Agency (ROSCOSMOS),Government,Soyuz U,Soyuz U,"[{'response_mode': 'list', 'id': 147, 'name': 'Soyuz'}]",,,,,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Kazakhstan,45.92,63.342,2010,2,1
80db2215-04bd-4d16-b998-311fb73db4fe,Space Shuttle Endeavour / OV-105 | STS-130,2010-004,2010-02-08 09:14:08+00:00,2010-02-08 09:14:08+00:00,2010-02-08 09:14:08+00:00,,Launch Successful,Success,United Space Alliance,Commercial,Space Shuttle,Space Shuttle,[],STS-130,Human Exploration,Low Earth Orbit,LEO,Launch Complex 39A,"Kennedy Space Center, FL, USA",United States of America,28.60822681,-80.60428186,2010,2,1
7e4160fc-c9d5-4db6-b9b1-166408741f0e,Atlas V 401 | SDO (Solar Dynamics Observatory),2010-005,2010-02-11 15:23:00+00:00,2010-02-11 15:23:00+00:00,2010-02-11 15:23:00+00:00,,Launch Successful,Success,United Launch Alliance,Commercial,Atlas V 401,Atlas V 401,"[{'response_mode': 'list', 'id': 66, 'name': 'Atlas'}, {'response_mode': 'list', 'id': 174, 'name': 'Atlas V'}]",SDO (Solar Dynamics Observatory),Heliophysics,Enhanced Geostationary Transfer Orbit,Enhanced-GTO,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",United States of America,28.58341025,-80.58303644,2010,2,1
e810fd68-a7b9-4f4e-aae9-72533c04a8e9,Proton-M / Briz-M Enhanced | Intelsat 16,2010-006,2010-02-12 00:39:40+00:00,2010-02-12 00:39:40+00:00,2010-02-12 00:39:40+00:00,,Launch Successful,Success,International Launch Services,Commercial,Proton-M,Proton-M Briz-M Enhanced,"[{'response_mode': 'list', 'id': 130, 'name': 'Proton / UR-500'}]",,,,,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Kazakhstan,46.039984,63.032093,2010,2,1
3171d3d7-a1db-43a7-aa15-546d1cf93b7a,"Proton-M/DM-2 Enhanced | 3 x Glonass-M (Kosmos 2459, Kosmos 2460, Kosmos 2461)",2010-007,2010-03-01 21:19:44+00:00,2010-03-01 21:19:44+00:00,2010-03-01 21:19:44+00:00,,Launch Successful,Success,Khrunichev State Research and Production Space Center,Government,Proton-M,Proton-M DM-2 Enhanced,"[{'response_mode': 'list', 'id': 130, 'name': 'Proton / UR-500'}]","3 x Glonass-M (Kosmos 2459, Kosmos 2460, Kosmos 2461)",Navigation,Medium Earth Orbit,MEO,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Kazakhstan,46.071001,62.984999,2010,3,1
54add5a6-de47-48bb-9486-982181cf2766,"Delta IV M+(4,2) | GOES-P (GOES 15)",2010-008,2010-03-04 23:57:00+00:00,2010-03-04 23:57:00+00:00,2010-03-04 23:57:00+00:00,,Launch Successful,Success,United Launch Alliance,Commercial,"Delta IV M+(4,2)","Delta IV M+(4,2)","[{'response_mode': 'list', 'id': 72, 'name': 'Delta'}, {'response_mode': 'list', 'id': 175, 'name': 'Delta IV'}]",,,,,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",United States of America,28.5317,-80.56495,2010,3,1
989ba42a-7886-4879-a3b6-86e2b1332250,Long March 4C | Yaogan-9,2010-009,2010-03-05 04:55:05+00:00,2010-03-05 04:55:05+00:00,2010-03-05 04:55:05+00:00,,Launch Successful,Success,China Aerospace Science and Technology Corporation,Government,Long March 4C,Long March 4C,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 111, 'name': 'Long March 4'}]",,,,,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",China,40.960482,100.298059,2010,3,1
85c414e7-8433-46c3-a04a-e0e7d5b3fee2,Proton-M / Briz-M Enhanced | Echostar XIV,2010-010,2010-03-20 18:26:57+00:00,2010-03-20 18:26:57+00:00,2010-03-20 18:26:57+00:00,,Launch Successful,Success,International Launch Services,Commercial,Proton-M,Proton-M Briz-M Enhanced,"[{'response_mode': 'list', 'id': 130, 'name': 'Proton / UR-500'}]",,,,,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Kazakhstan,46.039984,63.032093,2010,3,1
